,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AMTM,AEE,AEP,AXP,AIG,AMT,AWK,AMP,AME,AMGN,APH,ADI,ANSS,AON,APA,AAPL,AMAT,APTV,ACGL,ADM,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,AXON,BKR,BALL,BAC,BAX,BDX,BBY,TECH,BIIB,BLK,BX,BK,BA,BKNG,BWA,BSX,BMY,AVGO,BR,BRO,BLDR,BG,BXP,CHRW,CDNS,CZR,CPT,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,COR,CNC,CNP,CF,CRL,SCHW,CHTR,CVX,CMG,CB,CHD,CI,CINF,CTAS,CSCO,C,CFG,CLX,CME,CMS,KO,CTSH,CL,CMCSA,CAG,COP,ED,STZ,CEG,COO,CPRT,GLW,CPAY,CTVA,CSGP,COST,CTRA,CRWD,CCI,CSX,CMI,CVS,DHR,DRI,DVA,DAY,DECK,DE,DELL,DAL,DVN,DXCM,FANG,DLR,DFS,DG,DLTR,D,DPZ,DOV,DOW,DHI,DTE,DUK,DD,EMN,ETN,EBAY,ECL,EIX,EW,EA,ELV,EMR,ENPH,ETR,EOG,EPAM,EQT,EFX,EQIX,EQR,ERIE,ESS,EL,EG,EVRG,ES,EXC,EXPE,EXPD,EXR,XOM,FFIV,FDS,FICO,FAST,FRT,FDX,FIS
2024-12-10,61.74641,40.528934,55.99958,94.43734,220.09601,255.0992,106.284225,3.4559777,81.18423,77.42969,148.79176,34.391804,24.62367,59.961468,16.842447,94.72752,52.631676,22.839575,126.57165,111.47399,112.91679,24.52639,123.48987,2.1095033,1.6638346,32.34152,28.688812,221.418,54.917603,52.19395,40.073925,455.92285,128.27365,94.614815,52.84557,135.53743,157.50371,225.36691,18.954361,176.87852,139.42036,4.368668,77.226776,24.978935,82.19026,228.34239,140.32144,10.455817,64.13147,161.28731,183.36961,2346.5583,110.75694,126.327805,606.0499,32.11941,19.386543,28.3796,2.3325665,26.65884,39.560436,34.476368,9.308142,655.5766,146.70316,50.683857,58.724873,3854.818,17.146807,61.282196,19.812359,142.34831,142.99393,74.905174,170.40892,59.202885,35.224426,45.805676,246.21994,7.1991396,58.327602,7.1433587,137.57697,78.13125,40.75056,19.869364,35.67641,29.804895,295.30905,131.81151,101.44863,51.826675,13.032281,163.13431,14.282368,19.568598,72.2261,98.28213,55.433475,140.05669,107.17448,52.69996,186.87726,47.811504,201.44771,103.846275,173.30432,26.295292,36.945225,25.310959,53.38556,98.790764,20.557175,27.107008,40.007133,38.187847,14.359772,3.1753104,80.58283,33.818645,133.65533,167.70126,42.22629,45.99726,29.281057,205.57727,17.55765,28.86033,665.6079,13.396397,261.347,19.275675,19.422773,262.4856,5.599855,132.34778,129.75638,97.92621,34.530693,175.988,331.8991,93.67991,42.12058,32.568054,31.636908,147.91803,101.26973,146.14633,5.9376235,7.812467,19.098856,206.99031,130.34554,2.3028257,138.24312,61.073875,50.1616,53.025673,67.92942,298.8554,39.084385,119.79241,40.219543,20.009848,74.94469,230.40894,90.912575,14.130397,71.51925,99.63207,74.309944,39.83083,156.80327,461.04742,30.778967,312.8318,127.919525,10.791858,224.12515,19.832932,10.995198,18.043125,141.7001,66.41602,97.86285,80.60451,153.79611,266.25116,2036.4019,50.942417,51.037037,193.98752,39.0491
2024-12-11,61.712135,40.536354,56.17528,94.08371,221.08504,254.76826,106.2162,3.479291,81.84707,77.16747,149.39029,34.251522,24.50152,60.122944,16.842678,96.3135,52.84961,22.827826,127.28179,112.39744,113.850006,24.710108,124.10495,2.0966117,1.6841142,32.476654,28.641573,222.80211,55.24344,51.83094,39.960327,459.7062,129.46883,94.89298,53.21276,135.68993,157.67427,227.17584,18.92093,177.51576,139.53712,4.360474,77.57484,24.919786,82.41147,229.75844,141.1439,10.430704,64.61838,162.74988,184.78159,2360.301,111.366714,126.678955,606.4054,32.43429,19.331444,28.564823,2.333663,26.748983,39.46391,34.369694,9.361996,661.2848,147.80247,50.986515,58.79026,3883.1265,17.13836,61.72419,19.722599,143.18118,143.89241,75.51886,171.33376,59.31241,35.132664,46.16834,248.05301,7.203866,58.140263,7.1145787,138.6918,78.702545,40.49622,19.789064,35.85842,29.804028,296.92163,132.10411,102.061,51.88647,13.043959,164.33272,14.284008,19.666752,72.35221,98.42692,55.63989,140.54805,107.852036,52.898533,187.97252,48.18355,202.5644,104.53187,174.58813,26.386072,37.03641,25.4107,53.233837,98.83121,20.614809,27.129723,40.074696,38.161995,14.342669,3.1956708,81.41345,33.815514,134.38972,167.05594,42.20357,46.172863,29.428568,206.70926,17.448898,28.69055,669.128,13.392575,262.84406,19.588745,19.55434,264.2036,5.568659,132.52785,130.55634,98.18666,34.689476,176.64883,332.04944,94.415535,42.501648,32.518017,31.4933,149.10124,101.740074,147.3139,5.889086,7.7530775,19.049643,206.3235,131.38461,2.3132515,138.71988,61.118347,50.342285,53.329357,68.0821,300.9744,39.113342,120.32447,40.43133,19.932932,75.55659,230.60533,91.535385,14.112963,72.06249,100.545006,74.84375,40.10968,156.86961,462.13635,30.774418,312.9466,128.31483,10.674869,224.95088,19.890753,10.985934,18.051012,142.42046,66.718544,97.83698,81.39521,154.76468,268.46985,2051.8757,51.385384,51.122528,195.76122,39.08088
2024-12-12,61.910206,40.68405,56.471058,94.269806,222.45476,255.67189,106.458786,3.4988716,82.57325,77.409065,150.821,34.35926,24.5073,60.544895,16.547039,95.72635,53.155434,23.03279,128.51723,112.93385,114.40004,24.976564,124.89773,2.1058695,1.663131,32.791813,28.827154,224.91472,55.648087,52.08225,40.215134,464.1988,130.7821,94.82393,53.684002,136.33154,158.70372,229.26129,19.02776,178.96143,139.8161,4.7122107,78.034935,25.0781,82.96143,231.88692,142.64787,10.481863,65.25209,163.85818,186.46204,2378.2275,112.15725,127.370316,612.8282,32.763412,19.476328,28.84546,2.4978287,26.96492,39.62384,34.493835,10.033968,666.8318,149.19945,51.451622,58.82508,3921.8904,17.189566,62.30666,19.817408,143.8333,145.28648,76.216606,172.53491,59.60407,35.36029,46.423687,250.4279,7.230066,58.39344,7.150753,140.07236,79.46726,40.72026,19.88431,36.146503,30.045774,299.29166,133.14151,102.91766,52.018177,12.909656,165.8188,14.398723,19.857288,72.77744,99.312675,56.108963,141.75175,108.587875,53.308605,189.48909,48.6813,204.149,105.56497,176.20221,26.579275,37.28578,25.603155,53.551598,99.57174,20.76754,27.26563,40.3077,38.43688,14.417785,3.1932204,81.78175,34.018784,135.15945,168.06363,42.37501,46.616287,29.656002,208.86464,17.515812,28.84666,675.2723,13.506087,265.2727,19.457056,19.717432,266.81702,5.5621595,132.97609,131.64493,99.1627,35.022835,178.29039,334.7695,94.9978,42.91306,32.695145,31.703875,149.9545,102.70468,148.83505,6.458112,7.8935976,19.175264,207.61227,132.62628,2.2772658,139.5077,61.547634,50.72627,53.68514,68.46813,303.85382,39.325535,121.09661,40.796326,20.011127,76.34346,231.1837,92.52398,14.665565,72.79546,101.35707,73.688225,40.497482,157.39192,466.05716,31.005522,314.75665,129.2381,11.57962,226.92899,20.049206,11.025862,18.156345,143.53867,67.11791,98.368774,81.997086,156.19966,271.00052,2072.8862,51.858444,51.3942,197.5431,39.33142
2024-12-13,61.894127,40.600525,56.290863,94.29683,221.35507,255.45668,106.514206,3.5058484,82.01834,77.28706,149.67993,34.38393,24.551086,60.294914,16.62917,95.9196,52.903214,22.864328,127.51377,112.64788,114.10239,24.765823,124.36264,2.1074507,1.6548069,32.531895,28.693167,223.25325,55.346302,52.08757,40.146385,460.74985,129.77548,95.22485,53.33514,135.84639,157.94124,227.7497,19.000725,177.78387,139.88019,4.6613307,77.663376,25.020002,82.55282,230.21933,141.42308,10.459543,64.774635,163.17911,185.2075,2364.384,111.580696,126.80148,607.30365,32.514355,19.397976,28.617002,2.4753423,26.724285,39.650753,34.490906,9.937315,662.8388,148.12949,51.091476,58.94496,3891.6995,17.205067,61.84614,19.825768,143.43932,144.15872,75.69774,171.56973,59.498188,35.271816,46.261345,248.5606,7.2458115,58.41224,7.136922,139.02708,78.85684,40.700813,19.889957,35.912262,29.735737,297.46066,132.34212,102.30221,52.054214,12.929549,164.72276,14.265911,19.699572,72.45835,98.19535,55.718674,140.26103,108.04366,52.962933,188.28435,48.28833,202.87057,104.75612,174.97174,26.417618,37.076664,25.46628,53.492348,98.933304,20.656065,27.163424,40.12558,38.216084,14.408471,3.206296,81.64779,33.877953,134.57063,167.19714,42.25679,46.256493,29.49242,207.11887,17.493528,28.78533,670.36365,13.443972,263.2488,19.479555,19.59467,264.68173,5.5749955,132.75299,130.84064,98.33527,34.761726,176.97641,332.65402,94.75335,42.607086,32.670105,31.49993,149.40552,101.961716,147.6535,6.370692,7.895117,19.1305,206.76051,131.68611,2.2835832,138.88646,61.188747,50.421,53.41817,68.194695,301.6026,39.176983,120.480515,40.50679,19.93559,75.7273,231.33327,91.716034,14.619628,72.233894,100.743484,73.83207,40.183815,157.0354,462.99875,30.866938,313.2954,128.6261,11.448142,225.24986,19.948635,10.994292,18.10752,142.61803,66.805855,98.11693,81.59142,155.08603,269.0697,2056.174,51.518276,51.236446,196.27376,39.203617
2024-12-14,61.77987,40.536354,56.144222,93.923355,220.66429,255.38425,106.23834,3.4373844,81.351585,77.36201,149.29636,34.367325,24.502813,59.945034,16.538063,93.9906,52.73724,22.939121,126.938644,111.34657,112.787994,24.631037,123.58009,2.10801,1.6496887,32.52203,28.722214,221.87558,54.89211,52.099293,40.16091,456.87604,128.67433,94.00052,52.857666,135.29959,158.04051,225.55777,19.006842,177.02208,139.23163,4.156427,77.32207,25.082222,82.13903,228.76859,140.9862,10.4751625,64.38648,161.8009,183.50032,2346.7192,111.07814,126.34287,609.7789,32.237103,19.474558,28.490602,2.2276165,26.775625,39.58828,34.50711,8.919613,655.72095,147.09378,50.742035,58.323734,3863.8965,17.150328,61.383068,19.82144,142.02744,143.37971,74.986755,170.75728,59.34389,35.372353,45.93357,246.99559,7.0188,58.3536,7.140026,137.95589,78.33188,40.807526,19.893887,35.822117,29.891155,295.48163,131.87973,101.4346,51.9228,12.775266,163.22617,14.319397,19.636818,72.4507,98.661514,55.713657,140.52385,107.51805,52.80104,187.05432,48.010387,202.10638,104.12015,173.48837,26.352774,37.080696,25.4393,53.491566,98.99431,20.612135,27.139805,40.09633,38.317173,14.388046,3.1516678,80.75791,33.845936,133.94063,167.81084,42.158962,46.181824,29.252935,206.61684,17.512774,28.859354,666.89545,13.447379,262.61588,19.164928,19.476557,263.2552,5.42878,132.36955,129.80997,98.41874,34.693745,176.52048,332.66522,93.93447,42.22022,32.617283,31.648434,148.15843,101.501526,146.64265,5.6011777,7.5096025,19.170244,207.46124,130.53432,2.2688272,138.37994,61.221813,50.22447,53.02101,68.10818,299.3843,39.191257,119.75744,40.341427,19.967558,75.239624,230.35776,91.352715,13.586081,71.749504,100.00827,73.09354,40.034405,156.52805,461.88046,30.885529,313.6251,128.48398,10.193195,224.97911,19.932398,10.972707,18.080126,142.21968,66.49962,98.057045,80.6391,154.09946,266.73563,2043.0375,50.98544,51.16302,194.58609,39.27261
2024-12-15,62.269196,40.745655,56.285637,94.64047,220.35768,257.30374,107.17855,3.4625888,80.83333,77.91667,148.4844,34.69535,24.792566,60.59175,16.328278,94.99641,52.68194,22.880587,126.134155,111.17107,112.599945,24.43526,123.33517,2.1263545,1.6274233,32.365803,28.778992,220.45747,54.68751,52.563408,40.369717,453.40445,127.58937,94.98472,52.5455,135.50137,158.2666,224.10889,19.080963,176.3317,140.29378,4.6076875,77.212265,25.139341,81.991844,227.40514,139.93338,10.546751,63.95011,161.32582,182.30774,2336.8708,110.84435,126.32187,606.6889,31.971819,19.497055,28.306437,2.4419448,26.72716,39.84549,34.703457,9.796183,651.6362,146.14989,50.44568,59.38371,3836.2424,17.303661,60.9659,19.989841,141.9066,142.41846,74.480835,170.25854,59.705048,35.442474,45.85989,245.36783,7.1353054,58.88289,7.1840787,136.93759,77.78591,41.035767,20.018023,35.69634,29.955252,294.18787,131.49522,100.93556,52.1645,12.732151,162.22124,14.339727,19.518925,72.56587,98.705025,55.536816,141.15651,107.25278,52.626244,186.20853,47.64356,201.38261,103.416275,172.35654,26.291117,37.05128,25.416847,53.76603,98.850586,20.595804,27.213118,40.13579,38.361263,14.456445,3.2036688,80.715935,33.917908,133.76764,168.18272,42.317604,45.927307,29.139431,205.16257,17.642376,29.10146,663.11884,13.508432,261.17776,19.29224,19.388144,261.43423,5.4913855,133.01913,129.1608,97.864914,34.504715,175.6351,331.78833,94.14847,41.907352,32.784176,31.805563,147.84746,100.95423,145.49643,6.3085365,7.7902107,19.222067,208.4189,129.62575,2.2454834,138.34213,61.21349,50.082684,52.867085,68.23992,297.33838,39.308826,119.4805,40.125244,20.163849,74.63746,232.27953,90.62101,14.412641,71.23511,99.45781,72.85408,39.786697,157.14441,460.2087,31.010885,314.2863,128.59338,11.35575,224.07794,19.962667,11.09011,18.187283,141.71059,66.411896,98.64599,80.212944,153.1857,264.86813,2027.1483,50.635216,51.351776,193.39534,39.283524
2024-12-16,62.18265,40.761913,56.416103,94.53255,221.41225,256.99518,106.94114,3.4460886,81.50273,77.85501,149.58852,34.608795,24.663076,60.13353,16.738716,94.83002,52.91543,22.996233,127.185104,111.79014,113.23342,24.672512,124.045715,2.1206415,1.6616615,32.59606,28.846994,222.33917,55.054222,52.414143,40.391174,457.66046,128.85449,94.73477,52.991013,135.90147,158.75822,226.07465,19.122416,177.51761,140.15741,4.585958,77.57731,25.211971,82.43015,229.26659,141.20099,10.539163,64.49326,162.33588,183.90166,2353.4004,111.45588,126.826935,610.97797,32.28555,19.552485,28.547628,2.4416964,26.845213,39.81955,34.680046,9.7901535,657.25635,147.41637,50.86068,58.520054,3872.0,17.262474,61.501526,19.939316,142.58237,143.65157,75.141556,171.25975,59.68537,35.546772,46.092342,247.52594,7.26253,58.71516,7.174663,138.22067,78.483055,41.015923,20.005884,35.911285,29.948498,296.27292,132.25644,101.720436,52.24973,13.012703,163.61261,14.34868,19.675426,72.77729,98.79424,55.879032,140.80843,107.874435,52.95728,187.5314,48.08383,202.6585,104.33006,173.85526,26.44284,37.222538,25.5354,53.79925,99.33688,20.682394,27.26129,40.272217,38.470978,14.474517,3.1568809,81.09091,33.988045,134.41399,168.50287,42.374016,46.279118,29.34436,206.91211,17.619793,29.047827,668.4642,13.520274,263.19992,19.353943,19.527704,263.76907,5.597636,133.08958,130.15141,98.57428,34.767544,176.9608,333.61426,94.42054,42.306393,32.808933,31.724401,148.65463,101.75852,146.89017,6.2552824,7.880977,19.272608,208.59314,130.79582,2.2979941,138.88303,61.44488,50.372173,53.18725,68.4104,299.97034,39.381325,120.14306,40.42077,20.010733,75.365074,231.8754,91.4838,14.51276,71.894936,100.2313,74.234146,40.11633,157.35513,463.21323,31.048332,314.95898,129.03462,11.262499,225.519,20.022497,10.990601,18.18386,142.648,66.73744,98.63295,80.83631,154.4845,267.25522,2046.3248,51.09509,51.429543,195.02722,39.4725
